"","x"
"605",407.49
"606",409.89
"607",411.16
"608",405.07
"609",410.75
"610",396.21
"611",402.45
"612",410.77
"613",394.07
"614",410.71
"615",410.24
"616",412.88
"617",407.69
"618",406.56
"619",413.65
"620",406.15
"621",409.17
"622",404.35
"623",407.04
"624",411.04
"625",405.29
"626",409.4
"627",398.33
"628",408.36
"629",406.9
"630",401.78
"631",402.87
"632",405.14
"633",417.45
"634",400.35
"635",410.76
"636",411.64
"637",404.51
"638",404.94
"639",413.53
"640",414.81
"641",409.42
"642",414.99
"643",414.31
"644",375.71
"645",407.97
"646",401.37
"647",410.45
"648",411.34
"649",410.57
"650",401.86
"651",411.41
"652",409.73
"653",349.1
"654",392.9
"655",397.37
"656",407.06
"657",399.88
"658",409.27
"659",414.89
"660",406.72
"661",409.04
"662",-1880.24
"663",411.11
"664",400.34
"665",406.11
"666",143.96
"667",401.95
"668",407.7
"669",405.51
"670",412.31
"671",405.91
"672",407.02
"673",405.38
"674",401.21
"675",400.46
"676",405.19
"677",402.14
"678",421.55
"679",400.22
"680",405.83
"681",408.09
"682",408.76
"683",393.39
"684",409.73
"685",416.93
"686",402.74
"687",414.88
"688",405.82
"689",406.36
"690",407.67
"691",408.27
"692",408.94
"693",405.4
"694",402.94
"695",407.95
"696",405.19
"697",412.48
"698",402.59
"699",391.31
"700",402.27
"701",409.61
"702",413.92
"703",407.54
"704",390.55
"705",410.99
"706",400.65
"707",405.43
"708",370.55
"709",415.4
"710",405.88
"711",405.66
"712",405.37
"713",406.21
"714",406.41
"715",386.66
"716",411.85
"717",395.63
"718",406.42
"719",362.7
"720",118.07
"721",409.67
"722",-1321.04
"723",408.44
"724",384.52
"725",407.9
"726",407.72
"727",399.93
"728",409.34
"729",412.53
"730",406.66
"731",407.65
"732",409.97
"733",395.92
"734",409.7
"735",404.93
"736",407.54
"737",407.38
"738",403.37
"739",406.9
"740",406.35
"741",414.69
"742",407.24
"743",410.58
"744",395.13
"745",414.87
"746",411.87
"747",410.65
"748",363.48
"749",398.93
"750",414.99
"751",400.85
"752",410.63
"753",411.39
"754",411.13
"755",410.01
"756",412.49
"757",409.02
"758",401.4
"759",414.91
